SSDSE-A-2023,Prefecture,Municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2108,C210832,C210833,C210835,C210836,C210837,C210838,C210839,C210840,C210841,C210844,C210845,C210846,C210847,C210848,C210849,C210850,C210851,C210852,C2208,C220832,C220833,C220835,C220836,C220837,C220838,C220839,C220840,C220841,C220844,C220845,C220846,C220847,C220848,C220849,C220850,C220851,C220852,C310201,C310202,D1202,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3901,E3904,E3905,E3906,E4101,E4501,F1102,F110201,F110202,F1107,F110701,F110702,F1108,F110801,F110802,F2201,F2211,F2221,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J250302
,,îNìx,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2019,2019,2021,2019,2019,2019,2019,2019,2019,2019,2019,2019,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2018,2020,2020,2016,2016,2016,2020,2020,2020,2020,2020,2020,2020
ínàÊÉRÅ[Éh,ìsìπï{åß,ésãÊí¨ë∫,ëçêlå˚,ëçêlå˚ÅiíjÅj,ëçêlå˚ÅièóÅj,ì˙ñ{êlêlå˚,ì˙ñ{êlêlå˚ÅiíjÅj,ì˙ñ{êlêlå˚ÅièóÅj,15çŒñ¢ñûêlå˚,15çŒñ¢ñûêlå˚ÅiíjÅj,15çŒñ¢ñûêlå˚ÅièóÅj,15Å`64çŒêlå˚,15Å`64çŒêlå˚ÅiíjÅj,15Å`64çŒêlå˚ÅièóÅj,65çŒà»è„êlå˚,65çŒà»è„êlå˚ÅiíjÅj,65çŒà»è„êlå˚ÅièóÅj,75çŒà»è„êlå˚,75çŒà»è„êlå˚ÅiíjÅj,75çŒà»è„êlå˚ÅièóÅj,äOçëêlêlå˚,èoê∂êî,éÄñSêî,ì]ì¸é“êîÅiì˙ñ{êlà⁄ìÆé“Åj,ì]èoé“êîÅiì˙ñ{êlà⁄ìÆé“Åj,ê¢ë—êî,àÍî ê¢ë—êî,àÍî ê¢ë—êlàıêî,äjâ∆ë∞ê¢ë—êî,íPì∆ê¢ë—êî,65çŒà»è„ÇÃê¢ë—àıÇÃÇ¢ÇÈäjâ∆ë∞ê¢ë—êî,ïv65çŒà»è„ÅAç»60çŒà»è„ÇÃïvïwÇÃÇ›ÇÃê¢ë—êî,65çŒà»è„ê¢ë—àıÇÃíPì∆ê¢ë—êî,ç•à˜åèêî,ó£ç•åèêî,ëçñ êœÅiñkï˚ínàÊãyÇ—í|ìáÇèúÇ≠Åj,â¬èZínñ êœ,éñã∆èäêîÅiñØâcÅj,éñã∆èäêîÅiñØâcÅjÅiî_ã∆ÅCó—ã∆Åj,éñã∆èäêîÅiñØâcÅjÅiãôã∆Åj,éñã∆èäêîÅiñØâcÅjÅiçzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆Åj,éñã∆èäêîÅiñØâcÅjÅiåöê›ã∆Åj,éñã∆èäêîÅiñØâcÅjÅiêªë¢ã∆Åj,éñã∆èäêîÅiñØâcÅjÅiìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆Åj,éñã∆èäêîÅiñØâcÅjÅièÓïÒí êMã∆Åj,éñã∆èäêîÅiñØâcÅjÅiâ^óAã∆ÅCóXï÷ã∆Åj,éñã∆èäêîÅiñØâcÅjÅiâµîÑã∆ÅCè¨îÑã∆Åj,éñã∆èäêîÅiñØâcÅjÅiã‡óZã∆ÅCï€åØã∆Åj,éñã∆èäêîÅiñØâcÅjÅiïsìÆéYã∆ÅCï®ïií¿ë›ã∆Åj,éñã∆èäêîÅiñØâcÅjÅiäwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆Åj,éñã∆èäêîÅiñØâcÅjÅièhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆Åj,éñã∆èäêîÅiñØâcÅjÅiê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆Åj,éñã∆èäêîÅiñØâcÅjÅiã≥àÁÅCäwèKéxâáã∆Åj,éñã∆èäêîÅiñØâcÅjÅià„ó√ÅCïüéÉÅj,éñã∆èäêîÅiñØâcÅjÅiï°çáÉTÅ[ÉrÉXéñã∆Åj,éñã∆èäêîÅiñØâcÅjÅiÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅjÅj,è]ã∆é“êîÅiñØâcÅj,è]ã∆é“êîÅiñØâcÅjÅiî_ã∆ÅCó—ã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiãôã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiçzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiåöê›ã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiêªë¢ã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆Åj,è]ã∆é“êîÅiñØâcÅjÅièÓïÒí êMã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiâ^óAã∆ÅCóXï÷ã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiâµîÑã∆ÅCè¨îÑã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiã‡óZã∆ÅCï€åØã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiïsìÆéYã∆ÅCï®ïií¿ë›ã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiäwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆Åj,è]ã∆é“êîÅiñØâcÅjÅièhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiã≥àÁÅCäwèKéxâáã∆Åj,è]ã∆é“êîÅiñØâcÅjÅià„ó√ÅCïüéÉÅj,è]ã∆é“êîÅiñØâcÅjÅiï°çáÉTÅ[ÉrÉXéñã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅjÅj,î_â∆êîÅiîÃîÑî_â∆Åj,î_â∆êîÅié©ããìIî_â∆Åj,àÍî çsê≠ïîñÂêEàıêîÅiésãÊí¨ë∫Åj,åoèÌé˚éxî‰ó¶Åiésí¨ë∫ç‡ê≠Åj,é¿éøåˆç¬îÔî‰ó¶Åiésí¨ë∫ç‡ê≠Åj,çŒì¸åàéZëçäzÅiésí¨ë∫ç‡ê≠Åj,ínï˚ê≈Åiésí¨ë∫ç‡ê≠Åj,çŒèoåàéZëçäzÅiésí¨ë∫ç‡ê≠Åj,ñØê∂îÔÅiésí¨ë∫ç‡ê≠Åj,ìyñÿîÔÅiésí¨ë∫ç‡ê≠Åj,ã≥àÁîÔÅiésí¨ë∫ç‡ê≠Åj,ç–äQïúãåîÔÅiésí¨ë∫ç‡ê≠Åj,ócítâÄêî,ócítâÄç›âÄé“êî,è¨äwçZêî,è¨äwçZã≥àıêî,è¨äwçZéôì∂êî,íÜäwçZêî,íÜäwçZã≥àıêî,íÜäwçZê∂ìkêî,ã`ñ±ã≥àÁäwçZêî,ã`ñ±ã≥àÁäwçZã≥àıêî,ã`ñ±ã≥àÁäwçZëOä˙â€íˆéôì∂êî,ã`ñ±ã≥àÁäwçZå„ä˙â€íˆê∂ìkêî,çÇìôäwçZêî,çÇìôäwçZê∂ìkêî,èAã∆é“êî,èAã∆é“êîÅiíjÅj,èAã∆é“êîÅièóÅj,äÆëSé∏ã∆é“êî,äÆëSé∏ã∆é“êîÅiíjÅj,äÆëSé∏ã∆é“êîÅièóÅj,îÒòJì≠óÕêlå˚,îÒòJì≠óÕêlå˚ÅiíjÅj,îÒòJì≠óÕêlå˚ÅièóÅj,ëÊÇPéüéYã∆èAã∆é“êî,ëÊÇQéüéYã∆èAã∆é“êî,ëÊÇRéüéYã∆èAã∆é“êî,åˆñØäŸêî,ê}èëäŸêî,ëçêlå˚ÅiîÒêÖêÙâªêlå˚Å{êÖêÙâªêlå˚Åj,îÒêÖêÙâªêlå˚,è¨îÑìXêî,à˘êHìXêî,ëÂå^è¨îÑìXêî,àÍî ïaâ@êî,àÍî êfó√èäêî,éïâ»êfó√èäêî,à„étêî,éïâ»à„étêî,ñÚç‹étêî,ï€àÁèäìôêîÅiäÓñ{ï[Åj
R01100,ñkäCìπ,éDñyés,1973395,918682,1054713,1933094,897727,1035367,215366,110196,105170,1185724,566874,618850,541242,224966,316276,264920,98452,166468,12634,12259,20261,115389,105713,969161,967372,1916478,496691,422160,195527,110890,121789,9131,3691,112126,43879,72451,93,2,8,6400,2349,46,1396,1639,18137,1369,7276,3985,9859,6261,2140,6680,294,4516,838911,875,16,68,59550,36190,3019,29973,42158,192192,26134,32255,29672,83819,38382,32499,127350,7616,97140,347,280,7396,95.3,2.1,1004028030,338947135,992751320,432093082,122819403,150836898,6541146,101,15815,201,5139,89713,107,3066,45601,0,0,0,0,51,41997,845953,445866,400087,41269,23450,17819,576925,192964,383961,3983,115924,697967,1,12,1961682,6049,11197,8502,355,178,1375,1205,6978,2142,5758,343
R01202,ñkäCìπ,îüäŸés,251084,113965,137119,248208,112718,135490,23560,11984,11576,134953,64971,69982,89257,35342,53915,45963,16118,29845,989,1231,3827,7856,8650,121793,121455,240342,62606,50901,30158,16719,22337,929,431,67787,12281,12918,20,20,3,1134,579,11,95,265,3400,263,914,432,2094,1340,363,1000,97,888,112081,150,251,23,8268,9559,395,1246,6504,24511,3061,2838,2396,13421,5950,3180,19255,1412,9661,146,132,1248,93.1,7.3,137782620,32404550,136199691,60755210,12616464,15551107,108471,12,1099,43,747,9887,23,451,5565,1,22,44,28,14,6449,109183,57529,51654,5592,3269,2323,86816,28978,57838,3202,17553,84172,2,1,252647,24844,2533,1749,41,26,207,126,822,182,683,53
R01203,ñkäCìπ,è¨íMés,111299,50136,61163,109971,49441,60530,9169,4678,4491,55643,26790,28853,45426,18009,27417,24086,8559,15527,552,425,1932,2756,3146,52817,52615,106082,28930,20657,15757,8822,11095,318,144,24383,8528,5677,3,7,0,400,425,7,23,222,1679,81,190,133,896,529,149,520,38,375,50240,38,107,0,2487,8433,208,105,3401,10726,866,717,713,4895,3711,1399,8876,545,3013,54,58,688,99.4,7.5,56464859,13594349,56282977,25933163,6038344,3761144,0,12,738,17,340,3947,13,223,2211,0,0,0,0,7,3001,44785,23313,21472,2850,1689,1161,46101,16224,29877,619,7572,35719,0,1,111634,2310,1289,778,17,11,80,78,338,105,334,23
R01204,ñkäCìπ,àÆêÏés,329306,152108,177198,325287,150318,174969,34691,17797,16894,178060,85575,92485,112411,46768,65643,58032,22143,35889,1082,1913,4617,9489,10008,156195,155625,315003,86206,61540,39798,24072,24821,1280,545,74766,35018,14493,72,0,2,1376,747,8,109,363,3728,332,1118,491,2042,1393,307,1436,78,890,139204,730,0,8,11371,10723,528,1010,8626,33143,3711,3376,2892,13217,6027,4581,25884,1684,11688,843,273,1547,94.9,8.1,160957753,40283960,159484778,73814951,19533760,13273044,164320,26,2242,53,1218,14546,27,642,7841,0,0,0,0,13,8829,146321,77721,68600,6921,4052,2869,118878,41158,77720,3761,24253,114977,27,5,331951,8860,2612,1743,65,36,225,171,1364,246,876,71
R01205,ñkäCìπ,é∫óñés,82383,40390,41993,81658,39960,41698,7769,3916,3853,43398,23259,20139,30330,12565,17765,16418,6265,10153,380,421,1236,2725,3349,41766,41660,79836,20845,18890,10730,6481,7410,294,118,8101,4331,4150,1,0,0,438,210,4,34,123,1007,97,262,132,709,356,87,297,24,369,42879,28,0,0,5209,7477,182,557,2527,7361,937,820,1229,3505,1398,1390,5763,396,4100,12,8,353,96.3,9.3,45923510,13510349,45284580,17776538,5961096,5186500,6532,9,831,9,229,3162,8,141,1657,0,0,0,0,6,2654,34733,20173,14560,1661,1128,533,33134,12133,21001,324,9155,24690,0,1,81909,2216,748,621,11,6,52,40,249,56,193,11
R01206,ñkäCìπ,ã˙òHés,165077,77506,87571,163026,76789,86237,16634,8495,8139,90595,44886,45709,56355,23465,32890,28354,10823,17531,815,863,2271,5389,6137,80349,80095,159067,42053,33385,19578,11513,13290,633,308,136329,31168,8268,26,20,10,712,340,13,47,283,1970,188,785,265,1353,778,204,632,46,596,70112,303,269,438,5489,5938,384,392,5773,15110,2159,1875,1461,7786,3192,1548,11289,543,6163,129,18,912,96.8,10.9,93915281,21189705,93835143,38987066,8420412,8154144,45813,24,1780,25,570,6537,15,328,3634,2,58,377,285,8,4033,69198,37549,31649,2878,1686,1192,56593,20000,36593,1511,12561,53046,1,2,166089,8878,1391,1151,29,15,78,85,379,107,374,26
R01207,ñkäCìπ,ë—çLés,166536,79623,86913,165759,79211,86548,19073,9762,9311,96804,48097,48707,49000,20616,28384,24870,9548,15322,717,1076,1839,7212,7005,80175,79933,160130,42007,33848,17351,10492,11065,835,275,61934,38130,8804,72,1,4,868,338,9,74,185,2245,208,436,358,1562,829,256,712,45,601,78576,729,6,27,6908,5331,277,623,4385,18833,2405,1827,2297,9244,3528,1551,13303,426,6872,580,27,793,91.6,8.9,85539405,22791846,85168941,32588156,10000941,6889772,0,13,1733,26,632,7812,14,340,3978,0,0,0,0,8,5071,74554,40187,34367,2668,1541,1127,44613,15031,29582,3616,12675,54217,0,1,165750,3341,1567,1378,32,17,110,96,538,145,417,29
R01208,ñkäCìπ,ñkå©és,115480,54729,60751,114601,54346,60255,12014,6170,5844,63217,31713,31504,38841,16230,22611,20031,7673,12358,402,611,1512,3671,3799,55188,55024,111882,29872,21801,13824,8404,7846,467,201,142741,42794,5516,128,18,3,501,240,12,44,152,1472,118,335,185,809,483,107,451,45,411,49853,986,253,29,4843,3577,245,470,2739,12258,1316,1131,929,4781,2069,1437,7596,801,4388,713,126,792,95,8,72538941,14662609,72071608,22904782,9920805,6320570,9580,7,556,23,476,5043,13,269,2691,1,24,33,22,8,2812,49777,26904,22873,1832,1081,751,35130,12303,22827,3219,8212,36556,8,8,115641,3589,1039,663,28,12,63,51,234,74,222,27
